name,id
"CHLOE81 BLUE",1314
"CHOCOLAT RESTAURANT LOUNGE",1315
"CHOLA",1316
"CHOM CHOM",1317
"CHOP SHOP",1318
"CHOTE NAWAB",1320
"CHRISTOS STEAK HOUSE",1325
"CHURCH + DEY",1328
"CHURCH LOUNGE @ TRIBECA GRAND HOTEL",1329
"CHURCH PUBLICK",1330
"CHURCH STREET TAVERN",1331
"CHURRASCARIA PLATAFORMA",1332
"CHURRASCARIA PLATAFORMA BRAZILIAN STEAKHOUSE",1333
"CIANO",1335
"CIAO FOR NOW",1337
"CIBO",1343
"CIBO E VINO",1344
"CICCIO",1345
"CIELO BAR",1349
"CINEMA",1352
"CINEMA CAFE 34TH STREET",1353
"CIPRIANI",1357
"CIPRIANI DOWNTOWN",1358
"CIRCO",1360
"CIRCOLO",1361
"CIRCOLO 45",1362
"CIRCOLO45",1363
"CIRCUS",1364
"CITRUS BAR & GRILL",1368
"CITY CRAB & SEAFOOD COMPANY",1373
"CITY HALL",1374
"CITY LOBSTER & STEAKHOUSE",1375
"CK14",1381
"CLARKSON",1384
"CLAW",1387
"CLAW 9TH AVE",1388
"CLAW DADDYS",1389
"CLEMENT",1390
"CLOUD 9 DINER",1394
"CLUB A STEAKHOUSE",1397
"CLUB ROOM",1399
"CLYDE FRAZIERS WINE AND DINE",1401
"CO OP FOOD & DRINK",1403
"COCK AND BULL",1406
"COCO",1407
"COCOTTE",1408
"COLES GREENWICH VILLAGE",1409
"COLICCHIO & SONS",1410
"COLONIA VERDE",1411
"COMIC STRIP LIVE COMEDY CLUB",1414
"COMMERCE",1415
"COMMUNAL OVEN & EARTH",1417
"COMODO",1419
"CONFESSIONAL",1425
"CONNOLLYS PUB AND RESTAURANT",1427
"CONTORNOS RESTAURANT",1430
"COOGANS RESTAURANT",1433
"COOKSHOP",1434
"COOPERS TAVERN",1437
"COPACABANA SUPPER CLUB",1440
"COPIA NYC",1442
"COPPOLAS EAST",1445
"COPPOLAS WEST",1446
"CORNELIA STREET CAFE",1450
"CORNER SOCIAL",1454
"CORSINO",1457
"CORTON",1458
"CORVO BIANCO",1459
"COSTATA",1462
"COUNTY",1466
"COURGETTE",1467
"COVO TRATTORIA E PIZZERIA",1470
"CRAB HOUSE",1473
"CRAFT",1477
"CRAFTBAR",1478
"CRAVE FISHBAR",1481
"CREMA RESTAURANTE",1485
"CREOLE RESTAURANT AND MUSIC SUPPER CLUB",1487
"CRESCENT GRILL",1488
"CRISPINS",1489
"CRISPO",1490
"CROSSROADS AMERICAN KITCHEN AND BAR",1493
"CROTON RESERVOIR TAVERN",1495
"CROWN",1496
"CROWN RESTAURANT & LOUNGE",1497
"CRUDO",1499
"CUBANA SOCIAL",1503
"CUCINA & CO",1504
"CUCINA CIANO",1507
"CUCINA DI PESCE",1508
"CULL AND PISTOL",1509
"CUPPING ROOM CAFE",1510
"D T M RESTAURANT",1515
"DA CIRO",1523
"DA GIANNIS",1525
"DA MARCELLA",1526
"DA MARINO",1527
"DA NOI",1528
"DA ROSINA",1529
"DA TOMMASO NYC",1531
"DA UMBERTO",1532
"DAFNI GREEK TAVERNA",1535
"DAKSHIN",1537
"DALLAS BBQ",1538
"DANIEL",1543
"DANIELAS",1544
"DANS LE NOIR? NYC",1548
"DARK HORSE",1556
"DARUMA YA",1558
"DAVID BURKE",1564
"DAVID BURKE FABRICK",1565
"DAVID BURKE FISHTAIL",1566
"DAVID BURKE KITCHEN",1568
"DAVID BURKE TOWNHOUSE",1570
"DAVID BURKES FISHTAIL",1571
"DAVIOS NORTHERN ITALIAN STEAKHOUSE",1577
"DAWAT",1578
"DB BISTRO MODERNE",1580
"DBGB",1581
"DE SANTOS",1586
"DEGREZIA RESTAURANT",1590
"DEGUSTATION",1591
"DEKALB RESTAURANT",1592
"DEL FRISCOS DOUBLE EAGLE STEAKHOUSE",1593
"DEL FRISCOS GRILLE",1594
"DEL POSTO",1596
"DELHI HEIGHTS",1599
"DELICATESSEN",1600
"DELLANIMA",1602
"DELMONICOS",1605
"DELMONICOS KITCHEN",1606
"DERVISH MEDITERRANEAN RESTAURANT",1614
"DESMONDS STEAKHOUSE",1618
"DESNUDA",1619
"DESTEFANOS STEAK HOUSE",1621
"DESTINO",1622
"DEUX AMIS",1623
"DEVI",1624
"DHABA",1626
"DI UNO",1628
"DIECI",1630
"DIECI PIZZERIA & OSTERIA",1631
"DIEGOS MEXICAN GRILL",1632
